key,value,date
Divvy,-0.40888173,4/1/20
Divvy,1.362374229,5/1/20
Divvy,0.712675072,6/1/20
Divvy,0.607788202,7/1/20
Divvy,0.128528453,8/1/20
Divvy,-0.143651123,9/1/20
Divvy,-0.270761916,10/1/20
Divvy,-0.331752664,11/1/20
Divvy,-0.493394733,12/1/20
Divvy,-0.264026327,1/1/21
Divvy,-0.487550989,2/1/21
Divvy,3.60465913,3/1/21
Biketown,-0.245576512,4/1/20
Biketown,0.444329897,5/1/20
Biketown,0.088954318,6/1/20
Biketown,0.157968046,7/1/20
Biketown,-0.097573056,8/1/20
Biketown,-0.193507919,9/1/20
Biketown,-0.245576512,10/1/20
Biketown,0.444329897,11/1/20
Biketown,0.088954318,12/1/20
Biketown,0.157968046,1/1/21
Biketown,-0.272199816,2/1/21
Biketown,-0.245576512,3/1/21
Indego,-0.218623278,4/1/20
Indego,1.15320891,5/1/20
Indego,0.328837258,6/1/20
Indego,0.03291838,7/1/20
Indego,-0.030167854,8/1/20
Indego,0.005139393,9/1/20
Indego,-0.141052608,10/1/20
Indego,-0.293261779,11/1/20
Indego,-0.458613635,12/1/20
Indego,0.041192892,1/1/21
Indego,-0.393310228,2/1/21
Indego,1.540716788,3/1/21
